Start Date,End Date,Employer ID,Employer City,Employer State,Number of Slots,Price Paid,Marketplace Value Delivered,Applications,Renewed?
14-Mar-17,31-Mar-17,29586,na,na,35,"$1,432","$3,648",204,0
7-Mar-17,31-Mar-17,56308,Portland,Oregon,35,"$2,685","$4,394",344,0
3-Feb-17,10-Feb-17,29676,Springfield,Massachusetts,25,$256,"$1,626",56,1
10-Jan-17,11-Jan-17,7740,Tenafly,New Jersey,50,$205,$146,7,1
5-Jan-17,4-Feb-17,12693,Kingston,Ontario,50,"$3,729","$6,214",905,1
1-Dec-16,31-Dec-16,49482,Toronto,Ontario,10,"$1,491",$110,6,0
27-Nov-16,29-Dec-16,49246,na,na,10,"$22,912",$488,27,0
18-Nov-16,31-Dec-16,107337,Penticton,British Columbia,50,"$4,534","$3,395",211,1
16-Nov-16,28-Feb-17,48324,Greenwood Village,Colorado,10,"$10,024",$33,2,0
10-Nov-16,25-Feb-17,108098,0,0,25,"$28,640","$4,876",917,0
6-Nov-16,5-Dec-16,24689,Chicago,Illinois,25,"$1,493",$979,119,1
1-Nov-16,17-Feb-17,92654,na,na,10,"$14,320","$6,086",318,0
31-Oct-16,30-Jan-17,44688,na,na,25,"$4,475","$7,205",433,0
31-Oct-16,6-Jan-17,105891,Halifax,Nova Scotia,10,"$12,530","$3,091",165,1
30-Oct-16,29-Nov-16,47064,North Hills,California,35,"$3,281","$3,138",301,0
28-Oct-16,26-Jan-17,103826,Midlothian,Virginia,15,"$16,110","$2,451",203,0
24-Oct-16,21-Feb-17,102805,Cupertino,California,10,"$13,425","$2,154",160,0
17-Oct-16,31-Mar-17,101272,Chicago,Illinois,15,"$25,060","$14,645",857,0
14-Oct-16,11-Feb-17,101003,New York,New York State,10,"$17,900","$2,273",197,0
12-Oct-16,6-Jan-17,101661,Seattle,Washington State,10,"$14,320","$4,182",214,0
7-Oct-16,7-Feb-17,99255,Kenosha,Wisconsin,10,"$17,900","$1,002",100,0
28-Sep-16,17-Dec-16,97212,Saint Simons Island,Georgia,10,"$11,993",$154,47,0
28-Sep-16,17-Dec-16,97212,Atlanta,Georgia,10,"$11,993","$2,846",154,0
28-Sep-16,17-Dec-16,97212,na,na,10,"$11,993","$2,967",201,0
28-Sep-16,1-Jan-17,97472,Freeport,Texas,10,"$13,425","$4,307",253,0
20-Sep-16,19-Mar-17,95211,Miami Beach,Florida,35,"$14,320","$34,700","1,997",1
14-Sep-16,2-Feb-17,93903,Valparaiso,Indiana,35,"$37,590","$2,826",252,0
13-Sep-16,11-Jan-17,93540,Asheville,North Carolina,10,"$13,425","$1,361",68,0
12-Sep-16,11-Oct-16,42777,na,na,75,"$3,356","$4,010",491,1
6-Sep-16,15-Nov-16,225,Memphis,Michigan,100,"$7,824",$515,156,1
2-Sep-16,1-Jan-17,41565,Asheville,North Carolina,10,"$4,475","$2,121",170,0
1-Sep-16,30-Sep-16,42676,Walton-on-Thames,England,10,"$1,491","$1,885",140,1
31-Aug-16,29-Dec-16,90913,na,na,10,"$10,740","$3,839",312,0
31-Aug-16,29-Dec-16,90918,Springfield,Illinois,10,"$12,528","$3,977",217,0
30-Aug-16,29-Nov-16,90530,na,na,25,"$7,160","$5,746",720,1
29-Aug-16,6-Jan-17,90129,na,na,15,"$20,585","$6,760",521,0
29-Aug-16,28-Sep-16,90168,Austin,Texas,10,"$17,900","$3,773",165,1
27-Aug-16,26-Dec-16,42273,na,na,25,"$8,592","$10,949",785,1
25-Aug-16,23-Dec-16,89394,na,na,10,"$12,888",$785,75,0
25-Aug-16,23-Dec-16,89473,na,na,10,"$17,900","$4,407",270,0
23-Aug-16,31-Dec-16,88821,na,na,25,"$10,740","$15,906",910,0
22-Aug-16,21-Dec-16,88462,Brookline,Massachusetts,15,"$12,083","$7,834",501,0
18-Aug-16,23-Mar-17,32281,Prague,Prague,50,"$14,737","$9,409","1,010",1
16-Aug-16,15-Dec-16,87276,na,na,15,"$8,592","$3,798",278,1
15-Aug-16,1-Mar-17,30996,Columbus,Ohio,25,"$16,591","$1,767",487,0
4-Aug-16,4-Nov-16,84222,Johnston,Rhode Island,15,"$10,740","$1,514",111,0
31-Jul-16,31-Dec-16,35441,na,na,75,"$17,900","$23,253","1,623",1
31-Jul-16,30-Dec-16,83079,na,na,15,"$13,425","$8,246",459,0
29-Jul-16,28-Jan-17,27275,Tucson,Arizona,50,"$17,900","$20,047","1,396",1
28-Jul-16,27-Dec-16,39877,West Chester,Ohio,50,"$17,900","$12,695","1,218",1
26-Jul-16,17-Feb-17,50701,Lima,Ohio,50,"$14,359","$17,893","1,607",1
22-Jul-16,9-Nov-16,80858,San Francisco,California,20,"$13,425","$7,618",602,0
20-Jul-16,17-Jan-17,50914,Atlanta,Georgia,35,"$11,126","$11,468",585,0
20-Jul-16,19-Nov-16,80182,Worcester,Massachusetts,15,"$16,110","$5,049",249,0
15-Jul-16,12-Nov-16,68931,Dulles,Virginia,50,"$26,850","$3,040",225,1
15-Jul-16,31-Dec-16,39125,Metairie,Louisiana,10,"$10,740","$17,071","1,050",0
14-Jul-16,11-Jan-17,78767,na,na,15,"$17,900","$13,229",798,0
13-Jul-16,11-Oct-16,78437,Midland,Michigan,75,"$44,750","$5,161",333,0
12-Jul-16,8-Feb-17,78151,na,na,15,"$10,740","$2,346",142,0
12-Jul-16,1-Oct-16,78126,Grand Rapids,Michigan,15,"$10,740","$2,755",186,0
12-Jul-16,9-Nov-16,78124,0,0,15,"$13,425","$5,890",376,0
11-Jul-16,23-Nov-16,77811,Marlboro,New Jersey,20,"$16,110","$9,148",743,0
8-Jul-16,13-Nov-16,77300,San Francisco,California,15,"$14,320","$6,805",538,0
